Timestamp,Date,Ticker,Shares,Cost Basis,Stop Loss,Current Price,Total Value,PnL,Action,Cash Balance,Total Equity
2025-08-08T20:10:44.267247+00:00,2025-08-07,TOTAL,,,,,0.0,0.0,,100000.0,100000.0
2025-08-08T20:10:44.267247+00:00,2025-08-08,TOTAL,,,,,0.0,0.0,,99011.2,100019.2
2025-08-09T15:48:29.026901+00:00,2025-08-09,TOTAL,,,,,0.0,0.0,,99011.19,100012.79
2025-08-09T15:50:07.112832+00:00,2025-08-09,TOTAL,,,,,0.0,0.0,,99011.19,100012.79
2025-08-09T15:54:02.827074+00:00,2025-08-09,TOTAL,,,,,0.0,0.0,,99011.19,100012.79
